idDrink,strDrink,strCategory,strAlcoholic,strGlass,strInstructions,strDrinkThumb,strTags,dateModified,Ingredient,num_ingredientes,cluster,image_filename_x,image_path_x,image_filename_y,image_path_y,image_path
14466,Dirty Nipple,Shot,Alcoholic,Shot glass,This is a layered shot - the Bailey's must be on top,https://www.thecocktaildb.com/images/media/drink/vtyqrt1461866508.jpg,,2016-04-28 19:01:49,"['Kahlua', 'Sambuca', 'Baileys irish cream']",3,4.0,14466.jpg,cocktail_images/14466.jpg,14466.jpg,cocktail_images\14466.jpg,cocktail_images\14466.jpg
16992,Pink Penocha,Punch / Party Drink,Alcoholic,Punch bowl,mix all ingredients into bowl keep iced stir frequently,https://www.thecocktaildb.com/images/media/drink/6vigjx1503564007.jpg,,2017-08-24 09:40:07,"['Everclear', 'Vodka', 'Peach schnapps', 'Orange juice', 'Cranberry juice']",5,2.0,16992.jpg,cocktail_images/16992.jpg,16992.jpg,cocktail_images\16992.jpg,cocktail_images\16992.jpg
11416,Gin Smash,Ordinary Drink,Alcoholic,Old-fashioned glass,"Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/iprva61606768774.jpg,"Citrus,StrongFlavor",2017-09-08 16:14:16,"['Gin', 'Carbonated water', 'Sugar', 'Mint', 'Orange', 'Cherry']",6,3.0,11416.jpg,cocktail_images/11416.jpg,11416.jpg,cocktail_images\11416.jpg,cocktail_images\11416.jpg
14842,Midnight Mint,Cocktail,Alcoholic,Cocktail glass,"If available, rim cocktail (Martini) glass with sugar syrup then dip into chocolate flakes or powder. Add ingredients into shaker with ice. Shake well then strain into cocktail glass.",https://www.thecocktaildb.com/images/media/drink/svuvrq1441208310.jpg,,2015-09-02 16:38:30,"['Baileys irish cream', 'White Creme de Menthe', 'Cream']",3,4.0,14842.jpg,cocktail_images/14842.jpg,14842.jpg,cocktail_images\14842.jpg,cocktail_images\14842.jpg
178319,Aquamarine,Cocktail,Alcoholic,Martini Glass,"Shake well in a shaker with ice.
Strain in a martini glass.",https://www.thecocktaildb.com/images/media/drink/zvsre31572902738.jpg,,,"['Hpnotiq', 'Pineapple Juice', 'Banana Liqueur']",3,4.0,178319.jpg,cocktail_images/178319.jpg,178319.jpg,cocktail_images\178319.jpg,cocktail_images\178319.jpg
14360,Absolut Sex,Shot,Alcoholic,Old-fashioned glass,"Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex.",https://www.thecocktaildb.com/images/media/drink/xtrvtx1472668436.jpg,,2016-08-31 19:33:56,"['Absolut Kurant', 'Midori melon liqueur', 'Cranberry juice', 'Sprite']",4,4.0,14360.jpg,cocktail_images/14360.jpg,14360.jpg,cocktail_images\14360.jpg,cocktail_images\14360.jpg
17227,Addington,Cocktail,Alcoholic,Cocktail glass,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,https://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg,,2017-09-07 22:15:25,"['Sweet Vermouth', 'Dry Vermouth', 'Soda Water']",3,4.0,17227.jpg,cocktail_images/17227.jpg,17227.jpg,cocktail_images\17227.jpg,cocktail_images\17227.jpg
17833,A. J.,Ordinary Drink,Alcoholic,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg,,2016-09-02 11:16:58,"['Applejack', 'Grapefruit juice']",2,4.0,17833.jpg,cocktail_images/17833.jpg,17833.jpg,cocktail_images\17833.jpg,cocktail_images\17833.jpg
16295,Bleeding Surgeon,Soft Drink,Alcoholic,Collins glass,"Pour Shot of Rum over slice of orange. Fill the remaining space in glass half way full of surge or similar drink. Finish off glass with cranberry juice. Be carefull, warm surge may foam over the glass.",https://www.thecocktaildb.com/images/media/drink/usuvvr1472719118.jpg,,2016-09-01 09:38:38,"['Dark rum', 'Orange', 'Surge', 'Cranberry juice']",4,4.0,16295.jpg,cocktail_images/16295.jpg,16295.jpg,cocktail_images\16295.jpg,cocktail_images\16295.jpg
13072,Popped cherry,Ordinary Drink,Alcoholic,Highball glass,Served over ice in a tall glass with a popped cherry (can add more popped cherries if in the mood)!,https://www.thecocktaildb.com/images/media/drink/sxvrwv1473344825.jpg,,2016-09-08 15:27:05,"['Vodka', 'Cherry liqueur', 'Cranberry juice', 'Orange juice']",4,2.0,13072.jpg,cocktail_images/13072.jpg,13072.jpg,cocktail_images\13072.jpg,cocktail_images\13072.jpg
